downloaded,item_id,item_definition,category,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,word,freq,freqrank
2022-09-22,41,mouse,animals,0.06,0.1,0.15,0.26,0.27,0.36,0.44,0.5,0.57,0.61,0.64,0.66,0.85,0.77,0.77,mouse,33667003,0.9928569714278858
2022-09-22,42,owl,animals,0.12,0.15,0.19,0.32,0.31,0.35,0.44,0.53,0.53,0.59,0.63,0.65,0.79,0.7,0.72,owl,5010726,0.9698348793395174
2022-09-22,43,penguin,animals,0.04,0.05,0.07,0.13,0.14,0.2,0.29,0.36,0.4,0.42,0.46,0.45,0.64,0.69,0.67,penguin,5835109,0.9726998907995632
2022-09-22,44,pig,animals,0.13,0.17,0.25,0.43,0.45,0.45,0.57,0.64,0.71,0.78,0.78,0.79,0.91,0.86,0.86,pig,7028841,0.9760239040956163
2022-09-22,45,pony,animals,0.03,0.04,0.05,0.1,0.11,0.14,0.22,0.22,0.25,0.32,0.32,0.38,0.54,0.45,0.5,pony,4769062,0.9689168756675026
2022-09-22,46,puppy,animals,0.22,0.22,0.33,0.44,0.46,0.48,0.58,0.62,0.67,0.74,0.75,0.76,0.88,0.8,0.82,puppy,6662287,0.9751239004956019
2022-09-22,47,rooster,animals,0.03,0.03,0.04,0.07,0.09,0.11,0.15,0.24,0.26,0.33,0.35,0.42,0.57,0.42,0.46,rooster,1493153,0.9375337501350005
2022-09-22,48,sheep,animals,0.09,0.11,0.15,0.29,0.3,0.32,0.4,0.51,0.56,0.62,0.66,0.67,0.82,0.7,0.72,sheep,8962638,0.9798519194076777
2022-09-22,49,squirrel,animals,0.05,0.07,0.12,0.17,0.2,0.22,0.31,0.39,0.46,0.51,0.54,0.56,0.72,0.67,0.68,squirrel,2228308,0.9506438025752103
2022-09-22,50,teddybear,animals,0.08,0.11,0.18,0.26,0.28,0.29,0.38,0.47,0.51,0.58,0.64,0.65,0.82,0.71,0.74,teddybear,51233,0.5592172368689474
2022-09-22,51,tiger,animals,0.07,0.09,0.15,0.23,0.25,0.26,0.38,0.45,0.53,0.6,0.62,0.68,0.81,0.74,0.78,tiger,13763074,0.9853869415477662
2022-09-22,52,turkey,animals,0.04,0.05,0.06,0.14,0.17,0.16,0.22,0.27,0.31,0.39,0.43,0.41,0.63,0.48,0.53,turkey,28112986,0.9915549662198648
2022-09-22,53,turtle,animals,0.11,0.13,0.18,0.33,0.33,0.36,0.42,0.57,0.6,0.68,0.68,0.68,0.84,0.8,0.82,turtle,5297998,0.970938883755535
2022-09-22,54,wolf,animals,0.02,0.04,0.04,0.08,0.09,0.1,0.13,0.2,0.23,0.29,0.32,0.34,0.54,0.44,0.49,wolf,13001992,0.9847839391357566
2022-09-22,55,zebra,animals,0.04,0.08,0.1,0.17,0.2,0.21,0.29,0.38,0.45,0.51,0.53,0.56,0.73,0.64,0.7,zebra,2902469,0.9577268309073236
2022-09-22,56,airplane,vehicles,0.12,0.2,0.3,0.42,0.47,0.52,0.6,0.67,0.73,0.81,0.82,0.85,0.94,0.88,0.87,airplane,5216750,0.9706718826875308
2022-09-22,57,bicycle,vehicles,0.1,0.15,0.2,0.32,0.37,0.4,0.52,0.56,0.64,0.72,0.74,0.74,0.89,0.82,0.85,bicycle,8344882,0.97875091500366
2022-09-22,58,boat,vehicles,0.18,0.21,0.29,0.43,0.45,0.48,0.56,0.66,0.69,0.76,0.79,0.78,0.93,0.84,0.86,boat,34104031,0.9929229716918868
2022-09-22,59,bus,vehicles,0.16,0.2,0.25,0.39,0.42,0.48,0.62,0.68,0.74,0.78,0.78,0.83,0.91,0.87,0.86,bus,41043865,0.9940569762279049
2022-09-22,60,car,vehicles,0.35,0.44,0.55,0.68,0.75,0.74,0.77,0.82,0.89,0.91,0.91,0.93,0.97,0.94,0.95,car,264720374,0.9992709970839884
