source,statement,description,link
Michael Bloomberg,"""We cut New York City’s carbon footprint twice as much as the rest of the country."" ","stated on December 15, 2019 in a speech:",https://www.politifact.com/factchecks/2020/jan/11/michael-bloomberg/bloomberg-claims-gains-carbon-footprint-mayor/
Frederica Wilson,"Says Betsy DeVos is the ""most unpopular person in our government.""","stated on December 12, 2019 in a hearing:",https://www.politifact.com/factchecks/2020/jan/06/frederica-wilson/how-unpopular-betsy-devos/
David Crowley,"""Child care costs account for 24% of a WI family’s budget."" ","stated on October 22, 2019 in a tweet:",https://www.politifact.com/factchecks/2020/jan/03/david-crowley/child-care-costs-can-take-big-bite-family-budget/
Eric Schmitt,"""You have literally 140 people dying every day of opioid-related overdoses.""","stated on November 25, 2019 in a roundtable:",https://www.politifact.com/factchecks/2019/dec/31/eric-schmitt/schmitt-rates-mostly-true-claim-about-opioid-death/
Wayne Goodwin,"Says his opponent for NC Insurance Commissioner is a ""perennial candidate"" over 30 years.","stated on December 14, 2019 in a tweet:",https://www.politifact.com/factchecks/2019/dec/23/wayne-goodwin/nc-democrat-makes-claim-about-insurance-commission/
New York City Police Benevolent Association,"""Defendants charged with producing, directing or promoting an obscene sexual performance by a child will be arraigned & set free."" ","stated on December 2, 2019 in a Tweet:",https://www.politifact.com/factchecks/2019/dec/22/new-york-city-police-benevolent-association/police-union-criticizes-new-bail-law/
Joe Biden,"""You have to have congressional authority"" to close Guantanamo Bay prison. ","stated on December 19, 2019 in a Democratic primary debate in Los Angeles:",https://www.politifact.com/factchecks/2019/dec/20/joe-biden/congress-put-roadblocks-front-efforts-close-gitmo-/
Jim Himes,"Says President Donald Trump ""has not given this Congress a single email, phone record or document.""","stated on December 18, 2019 in in an impeachment debate:",https://www.politifact.com/factchecks/2019/dec/19/jim-himes/himes-says-white-house-snubbed-houses-document-req/
Woody Thrasher,"""West Virginia is sixth overall in the average number of at-risk youth.""","stated on August 21, 2019 in a tweet:",https://www.politifact.com/factchecks/2019/dec/06/woody-thrasher/does-west-virginia-rank-sixth-nation-risk-youth/
Jim Justice,"China today is ""burning seven to eight times the amount of coal that we’re burning in the United States.""","stated on June 10, 2019 in a press conference:",https://www.politifact.com/factchecks/2019/dec/04/jim-justice/does-china-burn-seven-eight-times-much-coal-us/
Alma Adams,"""The President wants to cut 3 MILLION people from SNAP, including children, seniors and veterans.""","stated on November 26, 2019 in a tweet:",https://www.politifact.com/factchecks/2019/dec/03/alma-adams/nc-democrat-mostly-right-about-proposed-cuts-snap/
Michael Bloomberg,"""No other city in America did what (New York) did. We reduced murders by 50%, reduced police shootings to historic lows, reduced the number of people incarcerated by nearly 40%.""","stated on November 17, 2019 in a speech:",https://www.politifact.com/factchecks/2019/dec/02/michael-bloomberg/new-york-crime-did-drop-when-2020-hopeful-michael-/
Lizzie Pannill Fletcher,"""In Texas, Latinas make less than $0.45 for every dollar a man makes. That makes us 49th in the nation.""","stated on November 20, 2019 in a tweet:",https://www.politifact.com/factchecks/2019/nov/27/lizzie-pannill-fletcher/texas-among-states-widest-pay-gap-latinas/
Robin Vos,"Says 1,000 people failed gun background checks in Wisconsin in 2018, but ""almost none of them were prosecuted for trying to do a background check and illegally buy a weapon.""","stated on November 10, 2019 in a TV interview:",https://www.politifact.com/factchecks/2019/nov/26/robin-vos/wisconsin-failed-gun-background-checks-rarely-lead/
Kellyanne Conway,"""We now have the first decline in overdose deaths due to drugs in 30 years - since 1990."" ","stated on November 20, 2019 in a radio interview.:",https://www.politifact.com/factchecks/2019/nov/26/kellyanne-conway/are-overdose-drug-deaths-finally-going-down-conway/
Nancy Pelosi,"President Trump ""hasn’t built any new (border) wall"" during his time in office.","stated on November 17, 2019 in an interview on ""Face the Nation"":",https://www.politifact.com/factchecks/2019/nov/23/nancy-pelosi/mostly-true-nancy-pelosis-claim-president-trump-ha/
Nikki Fried,"While previous clemency boards granted restoration of civil rights to thousands of Floridians, ""so far this year, under this clemency board, four (felons) have gotten their rights back.""","stated on October 29, 2019 in a pre-legislative media forum:",https://www.politifact.com/factchecks/2019/nov/21/nikki-fried/2019-few-florida-felons-got-their-voting-rights-ba/
Mike Pence,"""Since President (Donald Trump’s) election, 36,000 jobs have been created in WI.""","stated on November 20, 2019 in a tweet:",https://www.politifact.com/factchecks/2019/nov/21/mike-pence/mike-pence-right-about-wisconsin-jobs-increase/
David McKinley,"""$53 million a week is coming across the border in drugs.""","stated on October 13, 2019 in an article in a local newspaper:",https://www.politifact.com/factchecks/2019/nov/18/david-mckinley/what-value-drugs-come-us-border/
