source,statement,description,link
Rebuild by Design,“Every single county in New York has experienced a federal climate disaster between 2011-2021.”,"stated on March 1, 2023 in a report:",https://www.politifact.com/factchecks/2023/mar/29/rebuild-design/did-every-county-new-york-state-experience-federal/
William Barclay,“A proposal in Syracuse would pay gang members $100-$200 per week to stay out of trouble.”,"stated on March 7, 2023 in a tweet:",https://www.politifact.com/factchecks/2023/mar/29/william-barclay/syracuse-proposal-would-pay-gang-members-stay-away/
Joe Biden,“We cut Black child poverty in half in 2021 because of the child tax credit.”,"stated on February 27, 2023 in An address at the White House:",https://www.politifact.com/factchecks/2023/mar/22/joe-biden/biden-says-expanded-child-tax-credit-sharply-cut-p/
Walgreens,Walgreens’ position “has always been” to “dispense Mifepristone in any jurisdiction where it is legally permissible to do so.”,"stated on March 6, 2023 in a statement:",https://www.politifact.com/factchecks/2023/mar/15/walgreens/walgreens-claimed-that-it-always-planned-to-sell-a/
Joan Ballweg,"""Wisconsin has seen over 63 billion dollars of federal pandemic-related funding funnel into our state over (Gov. Tony Evers') tenure.""","stated on January 24, 2023 in Twitter:",https://www.politifact.com/factchecks/2023/mar/14/joan-ballweg/has-wisconsin-really-seen-63-billion-covid-relief/
Erin Paré,Wake County is the only large county in North Carolina that elects its commissioners at-large countywide.,"stated on February 18, 2023 in a tweet:",https://www.politifact.com/factchecks/2023/mar/10/erin-pare/wakes-county-commissioner-races-stand-out-in-north/
Elise Stefanik,New York City Mayor Eric Adams proposes to “ban chocolate milk.”,"stated on February 3, 2023 in a news release:",https://www.politifact.com/factchecks/2023/mar/08/elise-stefanik/does-eric-adams-want-ban-chocolate-milk-nyc-school/
Stanley Litow,“Lifetime earnings of someone with a college degree is over a million dollars more than those entering the workforce without one.”,"stated on February 7, 2023 in a news release:",https://www.politifact.com/factchecks/2023/mar/08/stanley-litow/strong-support-for-notion-that-a-bachelors-degree/
Donald Trump,“We banned transgender” people from serving in the military.,"stated on March 4, 2023 in a speech:",https://www.politifact.com/factchecks/2023/mar/08/donald-trump/donald-trump-issued-trans-military-ban-his-adminis/
Alex Epstein,“The whole green energy agenda involves more than doubling 10 types of mining.”,"stated on January 31, 2023 in a Fox Business segment:",https://www.politifact.com/factchecks/2023/feb/27/alex-epstein/reaching-net-zero-emissions-2050-would-require-maj/
Occupy Democrats,“Obama imposed stricter rules on trains carrying toxins. Trump killed them.”,"stated on February 15, 2023 in a photo on Facebook:",https://www.politifact.com/factchecks/2023/feb/17/occupy-democrats/obama-era-safety-rule-high-hazard-trains-was-repea/
Morgan Luttrell,"""Energy costs are the highest in 15 years.""","stated on January 10, 2023 in a tweet:",https://www.politifact.com/factchecks/2023/feb/16/morgan-luttrell/estimated-winter-heating-costs-highest-level-over/
